,Titles,Links
88,Space Symposium: Amazon unit finds space ripe for startups - Colorado Springs Gazette,https://gazette.com/business/space-symposium-amazon-unit-finds-space-ripe-for-startups/article_a9d49c42-0690-11ec-9c52-a718c533427b.html
89,"Former Microsoft, Amazon exec sentenced for $5.5 million in PPP fraud - Fortune",https://fortune.com/2021/08/25/ppp-fraud-jail-time-mukund-mohand-microsoft-amazon-executive/
90,These 5 tools on Amazon can replace almost everything in your toolbox - Yahoo Entertainment,https://www.yahoo.com/entertainment/5-tools-amazon-replace-almost-154328317.html
91,Adidas Grand Court Sneakers Are on Sale for $37 at Amazon | PEOPLE.com - PEOPLE,https://people.com/style/adidas-grand-court-sneaker-sale-amazon/
92,Jim Cramer says buy Amazon and the stocks of other companies with strong pricing power - CNBC,https://www.cnbc.com/2021/08/19/jim-cramer-says-buy-amazon-other-companies-with-strong-pricing-power.html
93,"National Dog Day 2021: Deals from Chewy, Petco, PetSmart, Walmart, Amazon - NJ.com",https://www.nj.com/shopping-deals/2021/08/national-dog-day-2021-deals-from-chewy-petco-petsmart-walmart-amazon.html
94,This $20 Amazon find needs to be in every kitchen - Yahoo Entertainment,https://www.yahoo.com/entertainment/20-amazon-needs-every-kitchen-120409561.html
95,The 5 best Amazon deals you can get this Wednesday - USA TODAY,https://www.usatoday.com/story/money/reviewed/2021/08/25/amazon-deals-save-eufy-sims-4-face-shields-and-more/5586958001/
96,Recent Match Report - Amazon vs T&T Riders 1st Match 2021 - ESPNcricinfo,http://www.espncricinfo.com/ci/content/story/1274859.html
97,"16 best women's T-shirts 2021, according to Amazon reviewers - TODAY",https://www.today.com/shop/best-womens-t-shirts-amazon-t228065
98,Jefferson Resident Reports Potential Amazon Scam To Local Authorities - 1380 KCIM,https://www.1380kcim.com/2021/08/26/jefferson-resident-reports-potential-amazon-scam-to-local-authorities/
99,Residents Share Concerns Over Proposed Amazon Facility In Lawrenceville - 90.5 WESA,https://www.wesa.fm/development-transportation/2021-08-24/residents-share-concerns-over-proposed-amazon-facility-in-lawrenceville
